,Episode,Reward,avg_reward,Step,Explore,PCT_Explore,Epsilon,Avg_velocity,Max_velocity,Map
0,1,0.7217952322289598,0.3608976161144799,16,16,100.0,0.99995,8.882352941176471,20,refmap3-3
1,2,-1.1976095117975145,-0.1586047598561849,22,22,100.0,0.9999000025,9.695652173913043,17,refmap3-2
2,3,-4.563859380521191,-1.2599184150224365,13,13,100.0,0.999850007499875,5.5,14,refmap3-5
3,4,5.477023986881276,0.08747006535830604,25,25,100.0,0.9998000149995,10.923076923076923,21,refmap3-2
4,5,0.9241842324224274,0.2269224265356596,10,10,100.0,0.99975002499875,6.090909090909091,17,refmap3-8
5,6,1.6466053986952858,0.4297342797013205,13,13,100.0,0.9997000374975,7.571428571428571,18,refmap3-8
6,7,7.186299394502569,1.2743049190514766,23,23,100.0,0.9996500524956251,13.541666666666666,25,refmap3-8
7,8,-1.6974816711344127,0.9441064090308223,16,16,100.0,0.9996000699930003,7.9411764705882355,17,refmap3-7
8,9,-4.1526863581720646,0.43442713231053365,14,14,100.0,0.9995500899895007,6.866666666666666,16,refmap3-4
9,10,-3.583747921521959,0.0691384910530343,15,15,100.0,0.9995001124850013,5.25,14,refmap3-2
10,11,1.0832536654737588,0.153648088921428,12,12,100.0,0.999450137479377,6.0,16,refmap3-8
11,12,4.85815529422857,0.515533258560439,22,22,100.0,0.9994001649725031,12.434782608695652,21,refmap3-1
12,13,2.813390912244409,0.6796659481092939,19,19,100.0,0.9993501949642545,12.05,22,refmap3-7
13,14,0.8721891276222546,0.6925008267434912,17,17,100.0,0.9993002274545063,8.88888888888889,18,refmap3-7
14,15,-2.3443120491626255,0.5027000219993589,12,12,100.0,0.9992502624431336,7.230769230769231,19,refmap3-1
15,16,1.099687210956775,0.5378169154674423,16,16,100.0,0.9992002999300115,7.882352941176471,17,refmap3-8
16,17,-5.96530141846993,0.17653256358203265,13,13,100.0,0.999150339915015,5.785714285714286,14,refmap3-5
17,18,-1.2218684548829044,0.10293250997861492,19,19,100.0,0.9991003823980192,9.05,18,refmap3-4
18,19,5.348824332754807,0.3652271011174245,29,29,100.0,0.9990504273788994,12.866666666666667,24,refmap3-2
19,20,-1.3957614106432699,0.28137050531929625,18,18,100.0,0.9990004748575304,9.105263157894736,17,refmap3-6
20,21,1.3071822268656375,0.32799831084412995,26,26,100.0,0.9989505248337875,11.703703703703704,18,refmap3-1
21,22,-2.1199862375139142,0.22156420004595412,14,14,100.0,0.9989005773075459,7.933333333333334,18,refmap3-1
22,23,-4.2654142879540515,0.03460676304595389,14,14,100.0,0.9988506322786805,5.933333333333334,15,refmap3-1
23,24,-8.925470838125007,-0.3237963410008845,13,13,100.0,0.9988006897470666,5.214285714285714,16,refmap3-1
24,25,-2.7838256933300936,-0.41841285455200794,14,14,100.0,0.9987507497125793,8.466666666666667,19,refmap3-7
