x,y
78.2,-4.199999809
77.2,-4.199999809
76.2,-4.199999809
75.2,-4.199999809
74.2,-4.199999809
73.2,-4.199999809
72.2,-4.199999809
71.2,-4.199999809
70.2,-4.199999809
69.2,-4.199999809
68.2,-4.199999809
67.2,-4.199999809
66.2,-4.199999809
65.2,-4.199999809
64.2,-4.199999809
63.2,-4.199999809
62.2,-4.197983742
61.2,-4.197954178
60.2,-4.197993279
59.2,-4.197604179
58.2,-4.197724342
57.2,-4.197901726
56.2,-4.197965622
55.89786911,-4.197930813
55.25541687,-4.197866917
54.33823776,-4.197822094
53.23117447,-4.198044777
51.89195251,-4.199094296
50.38697815,-4.201768875
48.84753799,-4.206660748
47.21019363,-4.214752197
45.62128448,-4.225755692
43.96640396,-4.240602493
42.35048294,-4.258335114
40.72396469,-4.27929306
39.09949493,-4.30356741
37.54947281,-4.329716206
35.98640442,-4.359258175
34.362957,-4.393381596
32.77519989,-4.430512905
31.22636986,-4.470685005
29.58021164,-4.525684834
28.02291489,-4.620257378
26.43967056,-4.812364578
24.91274452,-5.125286579
23.41898346,-5.58605051
21.89290047,-6.229899883
20.52355576,-6.987289429
19.21776199,-7.890885353
18.01336479,-8.869704247
16.83692169,-9.935263634
15.68892097,-11.04953194
14.55795383,-12.2033844
13.49576759,-13.34305286
12.45422935,-14.53122425
11.45380974,-15.7628746
10.50731754,-17.03647614
9.631885529,-18.33932686
8.820399284,-19.68654823
8.04492569,-21.14027596
7.372164726,-22.58309937
6.771138191,-24.07288361
6.254410744,-25.55850029
5.769227028,-27.18486595
5.357818604,-28.80409622
5.016017437,-30.3874073
4.716266155,-32.0435524
4.467666149,-33.72484589
4.279314041,-35.33340073
4.134181023,-36.98374939
4.034725666,-38.66148758
3.980050564,-40.29639053
3.960611105,-41.88972473
3.967780113,-43.47957611
3.99461627,-45.06382751
4.037735939,-46.70568848
4.089855194,-48.26996994
4.152925968,-49.89758301
4.223027229,-51.50975418
4.299610615,-53.11952591
4.383247375,-54.7797699
4.46796608,-56.43657684
4.46796608,-57
4.46796608,-58
4.46796608,-59
4.46796608,-60
4.46796608,-61
4.46796608,-62
4.46796608,-63
4.46796608,-64
4.46796608,-65
4.46796608,-66
4.46796608,-67
4.46796608,-68
4.46796608,-69
4.46796608,-70
4.46796608,-71
4.46796608,-72
4.46796608,-73
